total	type	name
6	School K-12	Summit View Elementary
15	Child Care Center	Wild Plum Center
29	Other	Victor Gold Mine
2	School K-12	Clayton Partnership 
9	School K-12	Sabin World School
6	Other	Summit Bodyworks
27	Healthcare - Combined Care	Montage Ridge (2304WQ): November 2020
8	Office/Indoor Workspace	Premier Fulfillment & Processing_ Inc.
4	School K-12	Fishers Peak Elementary School
28	College/University	Colorado Christian University 
15	Trade School	TONI&GUY Hairdressing Academy
17	Healthcare - Assisted Living	Balfour Retirement Community (02033Y): November 2020
6	Healthcare - Assisted Living	The Peaks at Old Laramie Trail (23V340)
16	Healthcare - Assisted Living	Sunrise Assisted Living at Boulder (23H563)
150	Jail	Mesa County Correctional Facility
7	Office/Indoor Workspace	Department of Revenue - Pierce Street
4	Child Care Center	TinyMinders North Daycare & Preschool
6	Child Care Center	Boulder Bilingual Childcare & Preschool
3	Construction Company/Contractor	Wells & West General Contractors_ Inc.
7	Retailer	The Home Depot #1549
10	Healthcare - Acute Care Hospital	Penrose St. Francis Health Services - NICU Department
109	Healthcare - Skilled Nursing	Autumn Heights Health Care Center (020405): November 2020
3	Retailer	Blooms by Anuschka
5	School K-12	Steamboat Springs Middle School
32	Healthcare - Assisted Living	Balfour Cherrywood Village (2303Z4)
6	Healthcare - Assisted Living	Frasier Meadows Manor Inc. Assisted Living Center (23J640): November 2020
9	School K-12	Belleview Christian Academy
7	Non-Food Manufacturer/Warehouse	MDM Inc.
40	Non-Food Manufacturer/Warehouse	Broadcom Inc.
366	State Prison	Arrowhead Correctional Center
24	Materials Supplier	Stresscon Corporation
9	Healthcare - Alcohol/Drug Abuse Treatment (inpatient)	Come As You Are
4	Non-Food Manufacturer/Warehouse	FRE Composites USA
16	Healthcare - Rehab Facility	Encompass Health Rehabilitation Hospital
28	Non-Food Manufacturer/Warehouse	Vestas Blades-Brighton
12	Healthcare - Acute Care Hospital	Penrose St. Francis Health Services - Oncology Unit
23	Healthcare - Skilled Nursing	St Paul Health Center (020448): November 2020
9	Other	Animal Medical Center of Woodland Park
20	Healthcare - Outpatient	Family Support Center- North
17	School K-12	Greeley West High School
13	Healthcare - Assisted Living	Brookdale Greeley (2303B5)
2	Office/Indoor Workspace	Lincoln County Treasurer's Office
49	Office/Indoor Workspace	Dish Network-Riverfront 
12	Healthcare - Facility for Developmentally Disabled (inpatient)	Wheat Ridge Regional Center-House E
3	Construction Company/Contractor	Nordic Excavating
15	Office/Indoor Workspace	Paragon 28
20	Office/Indoor Workspace	City of Littleton
40	School K-12	Poudre High School
8	Office/Indoor Workspace	South Adams County Water and Sanitation District
13	Office/Indoor Workspace	Douglas County Facilities
2	Construction Company/Contractor	Pueblo Truss Co.
10	Other	Community Pet Hospital
3	Other	Tempel Grain Elevators
3	Other	Durango 911 Communications Center
3	School K-12	Corpus Christi Catholic School: November 2020
11	School K-12	International Academy of Denver at Harrington
35	Healthcare - Assisted Living	Marycrest Assisted Living (2304ST): November 2020
14	Healthcare - Assisted Living	Colorado Careassist Cascade Home (23G116)
16	Grocery Store	King Soopers #92
18	Food Manufacturing/Packaging	Anhueser Busch Brewery- Fort Collins
5	Other	Platte River Power Authority
11	Healthcare - Outpatient	Health Solutions
2	Grocery Store	King Soopers #127: November 2020
3	School K-12	West Grand K-8 School
5	Retailer	The Home Depot #1514
24	Law Enforcement - Other	Lakewood Police Department 
5	School K-12	Thunder Mountain School
24	"Correctional	 Other"
34	"Correctional	 Other"
3	Youth Sports/Activities	Boys and Girls Club PACE Program
12	Office/Indoor Workspace	PB & T Bank
11	Other	City of Thornton Fire Department
2	Other	Evergreen Cemetery
6	School K-12	Arriba-Flagler Consolidated School District #20
6	School K-12	Orchard Ave Elementary School
35	Healthcare - Skilled Nursing	Horizons Care Center (021111)
6	Religious Facility	Cortez Seventh-day Adventist Church
6	Restaurant - Sit Down	Nordy's BBQ & Grill
4	School K-12	Vanguard School Upper Elementary and Secondary School
4	Restaurant - Sit Down	8th Street Steakhouse
2	Child Care Center	Paragon Preschool
9	Grocery Store	City Market- Canon City
12	Social Gathering	Social Gathering - Routt
13	School K-12	Gateway Elementary School
7	School K-12	Centennial High School 
5	Office/Indoor Workspace	Colorado Department of Personnel Affairs North Campus
18	Office/Indoor Workspace	Allegion LLC
18	Healthcare - Independent Living Facility	Vi at Highlands Ranch: November 2020
3	Restaurant - Sit Down	Back East Bar and Grill Briargate
14	"Correctional	 Other"
15	Healthcare - Skilled Nursing	NeuroRestorative Colorado (02E996)
6	Other	Pinehurst Country Club
3	Restaurant - Sit Down	New Image Brewing Co LLC
5	Other	Tri-Lakes Animal Emergency Care
8	Non-Food Manufacturer/Warehouse	ESS Metron Inc
3	Construction Site	I-Kota Construction- Mason Place Jobsite
4	Healthcare - Assisted Living	Renew Roaring Fork (23F410)
5	Farm/Dairy	Maggie's Farm
6	Healthcare - Assisted Living	Rocky Mountain Assisted Living (23C959)
17	Healthcare - Outpatient	AeroCare Holdings_ Inc.- Farabaugh Lane
6	Healthcare - Outpatient	Interim HealthCare Home Office 
17	Office/Indoor Workspace	City of Wheat Ridge City Hall
16	Healthcare - Assisted Living	Sevens Residential Memory Care (23E900)
4	Office/Indoor Workspace	Canvas Credit Union - Greeley
12	School K-12	Burlington Elementary School
8	Materials Supplier	Image Projections West
14	Healthcare - Skilled Nursing	Holly Heights Care Center (020412): November 2020
15	Non-Food Manufacturer/Warehouse	Carestream Health Inc.
3	School K-12	KIPP Northeast Elementary & Middle School
11	Non-Food Manufacturer/Warehouse	Rocky Mountain Metal Container
4	Materials Supplier	Pella Windows and Doors of Colorado
27	Restaurant - Sit Down	Bubba's 33
11	School K-12	Sacred Heart of Jesus School
6	Non-Food Manufacturer/Warehouse	Dragon Products
4	School K-12	Saint Francis de Sales School
30	"Correctional	 Other"
14	Retailer	Mile High Thrift Store- Northglenn
26	Healthcare - Skilled Nursing	Center at Cordera (02U322)
3	Restaurant - Sit Down	Brown Bear
31	School K-12	Fort Collins High School
8	School K-12	Fountain Valley School of Colorado
19	School K-12	Limon School
2	Construction Company/Contractor	San Isabel Electric
6	School K-12	Valdez Elementary
10	"Correctional	 Other"
17	Grocery Store	King Soopers #113
106	Healthcare - Assisted Living	Parker Senior Living by MorningStar (23X291): November 2020
4	Grocery Store	Walmart #869
18	Religious Facility	Pikes Peak Christian Church
2	Healthcare - Outpatient	High Plains Community Health Center
7	Materials Supplier	Rocky Mountain Reagents
38	Non-Food Manufacturer/Warehouse	Carefree of Colorado
21	Healthcare - Facility for Developmentally Disabled (outpatient)	Southeastern Developmental Services
112	Healthcare - Assisted Living	Northglenn Heights Assisted Living Community (230430): November 2020
14	Healthcare - Alcohol/Drug Abuse Treatment (inpatient)	The Recovery Village at Palmer Lake
26	Homeless Shelter	Urban Peak November 2020
14	Healthcare - Psychiatric Hospital	Aspen Pointe Lighthouse
90	Healthcare - Skilled Nursing	Cedars Health Care Center (020449)
3	Other	Shiva Enterprises
5	Hotel/Lodge/Resort	Motel 6
3	Retailer	The Home Depot #1535
16	Healthcare - Outpatient	UCHealth Pain Management Clinic- Fort Collins
61	Homeless Shelter	Homeward bound
3	Healthcare - Outpatient	Underwood Optical
3	Child Care Center	A Kid's Space
23	Retailer	Scheels
9	Construction Company/Contractor	Interstates Construction Services
5	Social Gathering	Social Gathering - Pitkin: November 2020
12	"Correctional	 Other"
16	Non-Food Manufacturer/Warehouse	Skyline Products
64	Healthcare - Assisted Living	Applewood Place (23D467)
58	Healthcare - Skilled Nursing	Julia Temple Healthcare Center (020418): November 2020
29	Healthcare - Skilled Nursing	Sloan's Lake Rehabilitation Center (02Q649): November 2020
24	Office/Indoor Workspace	Northrop Grumman
4	School K-12	Manitou Springs Elementary School
5	Distribution Center/Business	UPS
4	Retailer	River Blue
6	Office/Indoor Workspace	First American Title Insurance CO
7	Child Care Center	Southside Building Blocks
9	Distribution Center/Business	Black Hills Energy Warehouse
7	Child Care Center	Primrose School at the Denver Tech Center
7	"Correctional	 Other"
29	Healthcare - Assisted Living	Brookdale Pinehurst Park (2304CA): November 2020
15	Retailer	Target- Edgewater
7	Construction Company/Contractor	Swinerton Construction Site - 620 16th st.
58	Retailer	American Furniture Warehouse #62
17	Retailer	Target- Glendale
7	School K-12	Byers Middle School 
13	School K-12	Ben Franklin Academy
2	Restaurant - Sit Down	The Elm
51	Healthcare - Psychiatric Hospital	Peak View Behavioral Health
8	School K-12	Horizon High School
6	School K-12	American Academy - Motsenbocker
4	School K-12	East Elementary
28	Child Care Center	Children's Haven
6	Child Care Center	Auraria Early Learning Center
6	School K-12	Riverdale Ridge High School
2	Restaurant - Sit Down	Anthony's Pizza
433	State Prison	Four Mile Correctional Facility
89	Healthcare - Skilled Nursing	Colorado State Veterans Nursing Home - Rifle (020855)
46	Healthcare - Skilled Nursing	Medallion Post Acute Rehabilitation (020582): November 2020
102	State Prison	Denver Women's Correctional Facility
5	Trade School	Empire Beauty School
10	Healthcare - Outpatient	WellCare Pediatric Therapy Specialists
8	Other	Animal Emergency and Specialty Center 
15	Healthcare - Assisted Living	The Lodge at Grand Junction (23W782)
59	Healthcare - Assisted Living	The Gardens at Columbine (2304QP)
14	Grocery Store	Whole Foods Market Cherry Creek
5	Non-Food Manufacturer/Warehouse	Hartung Glass Industries (Agalite)
392	State Prison	Crowley County Correctional Facility: November 2020
7	School/College Dorm	School Of Mines- Beta Theta Pi Fraternity 
3	Non-Food Manufacturer/Warehouse	Curt Mangan Strings
7	Materials Supplier	RMB Products_ Inc
9	Healthcare - Ambulatory Surgery Center	Orthopedic & Spine Center of the Rockies- Loveland
14	Other	Colorado Springs Dodge
7	Law Enforcement - Other	City of Evans Police Department
17	Retailer	Walmart #4599
5	Child Care Center	Guidepost Montessori
27	College/University	Otero Junior College
37	School K-12	Fossil Ridge High School
4	School K-12	Hoehne School
26	Other	Fort Collins Jeep
10	Healthcare - Skilled Nursing	Valley View Health Care Center (020643)
21	Healthcare - Outpatient	The Urology Center of Colorado
7	Grocery Store	Sam's Club
2	Office/Indoor Workspace	JP Morgan Chase Bank- Lakewood (Colfax Ave.)
16	Healthcare - Skilled Nursing	The Center at Parkwest (02E472)
3	Restaurant - Sit Down	Vendetta's Restaurant
129	Healthcare - Skilled Nursing	Arbor View (020414)
32	Healthcare - Combined Care	Winslow Court Retirement Community (230512): November 2020
5	School K-12	William J. Palmer High School
37	State Prison	La Vista Correctional Facility
3	Healthcare - Outpatient	Comfort Dental North Pueblo
