,total,name,type,county
427,3,Southern Exposure Landscape,Construction Company/Contractor,Weld
428,5,Children's Garden Early Learning Center,Child Care Center,Alamosa
429,3,Namaste Alzheimer's Center (020518): April 2021,Healthcare - Skilled Nursing,El Paso
430,2,Highline Place (23L199): March 2021,Healthcare - Assisted Living,Arapahoe
431,2,James Irwin Charter Academy- Howard Campus: April 2021,School K-12,El Paso
432,2,Lakewood Villa (020443): April 2021,Healthcare - Skilled Nursing,Jefferson
433,8,IHOP- Alamosa: April 2021,Restaurant - Sit Down,Alamosa
434,3,Timber Ridge Mobile Home Park,Other,Larimer
435,10,The Home Depot #1544: March 2021,Retailer,Larimer
436,3,Camp Elim,Overnight Camp,Teller
437,3,World Compass Academy: April 2021,School K-12,Douglas
438,2,Social Gathering - Copper,Social Gathering,Summit
439,29,Garfield County Detention Center,Jail,Garfield
440,3,Aspen Grove Animal Clinic PC,Other,Larimer
441,10,Sterling Correctional Facility: April 2021,State Prison,Colorado
442,6,Town & Country Auto Mall - Chevrolet Building,Other,Alamosa
443,12,The Sunshine House of Colorado Springs,School K-12,El Paso
444,6,Marriott Colorado Springs,Hotel/Lodge/Resort,El Paso
445,4,Lowry Park Apartments,Other,Denver
446,2,Keystone Ski Patrol,Outdoor Entertainment/Rec,Summit
447,3,Costco Wholesale #440: April 2021,Retailer,Jefferson
448,4,Boyd Lake Veterinary Center,Other,Larimer
449,2,Caley Ridge Assisted Living Community (230487): April 2021,Healthcare - Assisted Living,Arapahoe
450,2,John F Kennedy High School,School K-12,Denver
451,4,Triple Crown Casino: March 2021,Casino,Teller
452,2,Poudre Valley REA,Other,Larimer
453,2,Acaria Inc,Healthcare - Outpatient,Jefferson
454,2,Breckenridge Recreation Center Youth Lacrosse Team,Youth Sports/Activities,Summit
455,10,Social Gathering- La Plata County: March 2021 #2,Social Gathering,La Plata
456,8,Sashco: March 2021,Non-Food Manufacturer/Warehouse,Adams
457,5,Home Day Care #1 - Arvada,Child Care Center,Jefferson
458,7,Lakewood High School: March 2021,School K-12,Jefferson
459,5,Peak Kia,Other,Denver
460,5,Merryhill Preschool,Child Care Center,Arapahoe
461,18,La Petite Academy- Littleton (Burgundy Ave),Child Care Center,Jefferson
462,29,High Mountain Institute,School K-12,Lake
463,4,JJ's Wood Fired Pizza,Restaurant - Sit Down,Larimer
464,5,RB Law Offices,Office/Indoor Workspace,Weld
465,11,Green Mountain High School,School K-12,Jefferson
466,13,Bill Reed Middle School,School K-12,Larimer
467,7,Castle Pines Veterinary Hospital,Other,Douglas
468,6,Ted's Montana Grill- Aurora (Main St),Restaurant - Sit Down,Arapahoe
469,9,C&W Railway Company,Other,Pueblo
470,6,Planned Pethood,Other,Jefferson
471,6,Del Frisco's Grille,Restaurant - Other,Denver
472,3,Silver Grill Cafe: March 2021,Restaurant - Sit Down,Larimer
473,3,ClinTech Spine Center,Healthcare - Outpatient,Larimer
474,3,Barolo Grill,Restaurant - Sit Down,Denver
475,6,Pueblo Community Resources Host Home,Healthcare - Group Home,Pueblo
476,3,Ute Coffee Shop,Restaurant - Fast Food,Montezuma
477,5,Parry's Pizza: March 2021,Restaurant - Sit Down,Larimer
478,3,First Farm Bank,Office/Indoor Workspace,Weld
479,2,Grillnetics,Non-Food Manufacturer/Warehouse,Larimer
480,44,Castle View High School: April 2021,School K-12,Douglas
481,4,The Green House Homes at Mirasol (02F496): April 2021,Healthcare - Skilled Nursing,Larimer
482,9,RTD Maintenance,Other,Denver
483,5,Drexel_ Barrell & Co.,Construction Company/Contractor,El Paso
484,2,Community Development Office,Office/Indoor Workspace,Teller
485,6,Colorado Department of Transportation - Pueblo County,Office/Indoor Workspace,Colorado
486,4,Sonny Lubick Steakhouse,Restaurant - Sit Down,Larimer
487,30,Chaffee County Jail,Jail,Chaffee
488,4,Centre Avenue Health and Rehab (02R209): April 2021,Healthcare - Skilled Nursing,Larimer
489,7,Parker Landing Child Development Center,Child Care Center,Douglas
490,7,B-Elite 2007 Boys A/B Soccer Teams,Youth Sports/Activities,Denver
491,2,City of Fort Collins Parks Department,Other,Larimer
492,5,CDPHE State Laboratory: April 2021,Other,Colorado
493,2,Northridge Elementary School: April 2021,School K-12,Douglas
494,8,Valley High School,School K-12,Weld
495,21,Thompson Valley High School: March 2021,School K-12,Larimer
496,2,Office Depot- Colorado Springs,Retailer,El Paso
497,6,CMC Materials EC Inc,Non-Food Manufacturer/Warehouse,Pueblo
498,3,Early Connections Learning Centers at Antlers,Child Care Center,El Paso
499,3,Southern Colorado Developmental Disabilities Services,Office/Indoor Workspace,Las Animas
500,9,Chili's Grill & Bar- Pueblo,Restaurant - Sit Down,Pueblo
501,3,Saddle Ranch Elementary School,School K-12,Douglas
502,6,Mullen High School: March 2021,School K-12,Denver
503,15,Highlands Behavioral Health,Healthcare - Psychiatric Hospital,Douglas
504,9,Colorado State Veterans Home at Fitzsimons (02R932): April 2021,Healthcare - Skilled Nursing,Colorado
505,3,Intervention Community Corrections Services - Weld: March 2021,"Correctional, Other",Weld
506,2,Odell Brewing Company: March 2021 ,Bar/Tavern/Brewery,Larimer
507,3,Platinum Foods,Food Manufacturing/Packaging,Pueblo
508,3,Summit Middle School: March 2021,School K-12,Summit
509,13,Alpine Dance Academy,Indoor Entertainment/Rec,Summit
510,8,Atomic Cowboy- Broadway,Bar/Tavern/Brewery,Denver
511,2,NoCo Carpentry LLC,Construction Company/Contractor,Larimer
512,3,Holiday Inn Express Hotel & Suites,Hotel/Lodge/Resort,Larimer
513,2,Early Connections Learning Centers at the Day Nursery,Child Care Center,El Paso
514,6,Cheba Hut- Fort Collins (Laurel St),Restaurant - Fast Food,Larimer
